text,theme,metre_simple,complexity_word,year,title
"

Хороши, как никогда,
мартовские хохота!
Выходите хохотать —
комы снежные катать.
В лица вражеских атак
научитесь хохотать,
не по поводу — а так!

Завтра 1-е апреля.
Скажут: «Хиль звончее Бреля»,
рестораны вмиг окажутся
все отличнейшего качества.

А сегодня — хлопья эха,
завалило трассу смехом,
выходите хохотать —
в зад автобусы толкать.

Хохот хорошо с лимоном,
хохма — мудрость миллионов.
Дурак может укатать,
но не может хохотать.

Эти хохоты свободы
завершает лепота —
благовещенских соборов
золотые хохота.
Выбегай похохотать —
слезы мехом утирать.

Сколько лет мы не смеялись,
сколько было бедных дней
без смешливости сияльной,
бриллиантовой твоей!..

",Прощение,не указан,сложный,1980,2024-03-31 0:00:00
"

«80» — в нимбе знака,
как некий новый святой.
Раздавленная собака
валяется на осевой.

Не я же ее зарезал,
зачем же она за мной 
как по дрезинной рельсе 
несется по осевой...

Рана черна от гнуса.
Скорость в пределах ста,
Главное не оглянуться.
Совесть моя чиста.


",Мотив черного,неклассический,сложный,1975.0,...
"

— А еще я скажу апропо…
— Про что скажете?
— А про то!
— Может, лучше про артлото?
— А про то?
— Бросьте в ступе толочь решето, 
лучше мчитесь неторной тропой 
по заоблачным горным плато…
— А про то?
— Ты про что намекаешь, браток?
— А про то…


",Мотив чувства,неклассический,простой,1975.0,...
"
 1
Кто поднял топор на священника?
Кто шел за ним в раннюю стынь?
И как найти в сердце прощение
тому, что сейчас творим?
Кто поднял топор на священника,
тот проклял себя. Аминь.

Неужто страна в деградации
болеет так тяжело,
когда не до святотатства —
до святотопорства дошло?!

Красивый. Сердца ежечасно
смягчал. Темны времена.
Убитый домой стучался.
Его не узнала жена.
Накрыла его безучастная
сусальная простыня.

С его позвонками шейными
диспут провел топор.
Страна, убивая священников,
пишет себе приговор.

Они беззащитной аортой
с Тарковским были близки,
пятьсот пятьдесят четвертой
школы ученики.

Мы вместе учились в чертогах
пятьсот пятьдесят четвертой.
На панихиде твоей
от имени нашей школы
зажгу тебе свечку скорбную,
опальный протоиерей.

Приход посреди России.
Афганцы, Маковок синь.
И девушка вслед литургии
вздохнула: «А. Мень... Аминь...»

А в небе кровавым довеском
над утренней нашей тропой
с космической достоверностью
предсказанный Достоевским,
как спутник, летит топор.

2

Прокатилось до Армении от московских деревень:
Мень, мень, мень...

И афганцы парашютные шепчут исповедь с колен,
автоматами прошитые, точно в дырочках ремень:
«Мень, мень, мень...»

Отвечает эхо: «Мень —
нем».

Новая Деревня
Храм Сретенья
10.IX.90
",Мотив чувства,не указан,сложный,1990,А. МЕНЬ
"

Ты мне прозвонилась сквозь страшную полночь:
«А ты меня помнишь?»
Ну как позабыть тебя, ангел-звереныш?
«А ты меня помнишь?» —
твой голос настаивал, стонущ и тонущ —
А ты меня помнишь? а ты меня помнишь?

И ухало это во тьме телефонищ —
рыдало по-русски, in English, in Polish —
you promise? astonish, а ты меня помнишь?

А ты меня помнишь, дорога до Бронниц?
И нос твой, напудренный утренним пончиком?
В ночном самолете отстегнуты помочи —
вы, кресла, нас помните?

Понять, обмануться, окликнуть по имени:
А ты меня...
Помнишь? Как скорая помощь,
в беспамятном веке запомни одно лишь —
«А ты меня помнишь?»",Мотив полета,неклассический,сложный,1998.0,А ТЫ МЕНЯ ПОМНИШЬ?
"Ах, сыграй мне, Булат, полечку...
Помнишь полечку, челку
		 пчелочкой?

Парой ласточек —
раз, и нет! —
чиркнут лодочки о паркет.

Пава, панночка, парусок,
как там тонешь наискосок?
Мы прикручены по ночам
к разным мчащимся поездам.

Ах, осин номерок
	  табельный!

Ах, октябрь, ах, октябрь
	   таборный!

Отовсюду моя вина,
как винтовка, глядит в меня:
«Ах, забудь, забудь, не глупи,
телевизор, что ли, купи»...

Я живу в Каширском лесничестве.
Рыб слежу. Либо снасть чиню.
Только это мне — ни к чему.
Пуст мой лес, и поля собраны.
Гитарист бы сыграл —
	   струны сорваны.

",Поле,не указан,простой,1961.0,...
"

В дни неслыханно болевые
быть без сердца - мечта.
Чемпионы лупили навылет -
ни черта!

Продырявленный точно решёта,
утишаю ажиотаж:
«Поглазейте в меня, как
		в решётку, —
так шикарен пейзаж!»

Но неужто узнает ружье,
где,
привязана нитью болезненной,
бьешься ты в миллиметре от лезвия,
ахиллесово
сердце
мое?!

Осторожнее, милая, тише...
Нашумело меняя места,
я ношусь по России -
как птица
отвлекает огонь от гнезда.

Невозможно расправиться с нами.
Невозможнее - выносить.
Но еще невозможней -
вдруг снайпер
срежет
нить!

",Мотив чувства,не указан,сложный,1965.0,АХИЛЛЕСОВО СЕРДЦЕ
,Домашняя,не указан,простой,1998,АРЕНДА
"

На Вас альпийские волосы —
как Преображенский парик,
за которым угадываются
камзол и коса,
девичьим румянцем лицо горит,
а глаза —

они венецианские, я бы сказал,
Вам предшествует приход синевы.
Сначала синий заполняет зал.
А спустя минуту
являетесь
Вы.

Однажды Вы спроектировали
бабочку-стадион,
который летал на игры
на конструктивной раме.
Игроки и зрители размещались
в нем.

Вам сказали:
«Рано!»
Но никогда не рано прийти
впереди себя
и в душах неподготовленных
смущение учинить.
Спокойно уйдет по воздуху
поторопившаяся стопа.
Я — Ваш, Леонид Николаевич,
незадачливый ученик.

",Душа,не указан,сложный,1980,АРХИТЕКТОР ПАВЛОВ
"

Москвою кто-то бродит,
накрутит номер мой.
Послушает и бросит —
отбой...

Чего вам? Рифм кило?
Автографа в альбом?
Алло!..
Отбой...

Кого-то повело
в естественный отбор!
Алло!..
Отбой...

А может, ангел в кабеле,
пришедший за душой?
Мы некоммуникабельны.
Отбой...

А может, это совесть,
Потерянная мной?
И позабыла голос?
Отбой...

Стоишь в метро конечной
с открытой головой,
и в диске, как в колечке,
замерзнул пальчик твой.

А за окошком мелочью
стучит толпа отчаянная,
как очередь в примерочную
колечек обручальных.

Ты дунешь в трубку дальнюю,
и мой воротничок
от твоего дыхания
забьется, как флажок...

Порвалась связь планеты.
Аукать устаю.
Вопросы без ответов.
Ответы в пустоту.

Свело. Свело. Свело.
С тобой. С тобой. С тобой.
Алло. Алло. Алло.
Отбой. Отбой. Отбой.

",Сохранять и покидать,классический,простой,1971.0,АВТОМАТ
